YEARS,CO2EQ
2328,542.4471
2329,542.4471
2330,542.4471
2331,542.4471
2332,542.4471
2333,542.4471
2334,542.4471
2335,542.4471
2336,542.4471
2337,542.4471
2338,542.4471
2339,542.4471
2340,542.4471
2341,542.4471
2342,542.4471
2343,542.4471
2344,542.4471
2345,542.4471
2346,542.4471
2347,542.4471
2348,542.4471
2349,542.4471
2350,542.4471
2351,542.4471
2352,542.4471
2353,542.4471
2354,542.4471
2355,542.4471
2356,542.4471
2357,542.4471
2358,542.4471
2359,542.4471
2360,542.4471
2361,542.4471
2362,542.4471
2363,542.4471
2364,542.4471
2365,542.4471
2366,542.4471
2367,542.4471
2368,542.4471
2369,542.4471
2370,542.4471
2371,542.4471
2372,542.4471
2373,542.4471
2374,542.4471
2375,542.4471
2376,542.4471
2377,542.4471
2378,542.4471
2379,542.4471
2380,542.4471
2381,542.4471
2382,542.4471
2383,542.4471
2384,542.4471
2385,542.4471
2386,542.4471
2387,542.4471
2388,542.4471
2389,542.4471
2390,542.4471
2391,542.4471
2392,542.4471
2393,542.4471
2394,542.4471
2395,542.4471
2396,542.4471
2397,542.4471
2398,542.4471
2399,542.4471
2400,542.4471
2401,542.4471
2402,542.4471
2403,542.4471
2404,542.4471
2405,542.4471
2406,542.4471
2407,542.4471
2408,542.4471
2409,542.4471
2410,542.4471
2411,542.4471
2412,542.4471
2413,542.4471
2414,542.4471
2415,542.4471
2416,542.4471
2417,542.4471
2418,542.4471
2419,542.4471
2420,542.4471
2421,542.4471
2422,542.4471
2423,542.4471
2424,542.4471
2425,542.4471
2426,542.4471
2427,542.4471
2428,542.4471
2429,542.4471
2430,542.4471
2431,542.4471
2432,542.4471
2433,542.4471
2434,542.4471
2435,542.4471
2436,542.4471
2437,542.4471
2438,542.4471
2439,542.4471
2440,542.4471
2441,542.4471
2442,542.4471
2443,542.4471
2444,542.4471
2445,542.4471
2446,542.4471
2447,542.4471
2448,542.4471
2449,542.4471
2450,542.4471
2451,542.4471
2452,542.4471
2453,542.4471
2454,542.4471
2455,542.4471
2456,542.4471
2457,542.4471
2458,542.4471
2459,542.4471
2460,542.4471
2461,542.4471
2462,542.4471
2463,542.4471
2464,542.4471
2465,542.4471
2466,542.4471
2467,542.4471
2468,542.4471
2469,542.4471
2470,542.4471
2471,542.4471
2472,542.4471
2473,542.4471
2474,542.4471
2475,542.4471
2476,542.4471
2477,542.4471
2478,542.4471
2479,542.4471
2480,542.4471
2481,542.4471
2482,542.4471
2483,542.4471
2484,542.4471
2485,542.4471
2486,542.4471
2487,542.4471
