YEARS,CO2EQ
2363,583.28779
2364,583.28779
2365,583.28779
2366,583.28779
2367,583.28779
2368,583.28779
2369,583.28779
2370,583.28779
2371,583.28779
2372,583.28779
2373,583.28779
2374,583.28779
2375,583.28779
2376,583.28779
2377,583.28779
2378,583.28779
2379,583.28779
2380,583.28779
2381,583.28779
2382,583.28779
2383,583.28779
2384,583.28779
2385,583.28779
2386,583.28779
2387,583.28779
2388,583.28779
2389,583.28779
2390,583.28779
2391,583.28779
2392,583.28779
2393,583.28779
2394,583.28779
2395,583.28779
2396,583.28779
2397,583.28779
2398,583.28779
2399,583.28779
2400,583.28779
